t,S,E,I,R,D,V
217.8,75625.6226762863,25.25395415858881,90.43489102494469,397558.31086015544,4015.7405137389446,522684.63710463536
217.9,75549.79192606088,25.01366472130386,89.63204569894002,397559.5841825235,4015.753375581046,522760.2248054139
218.0,75474.0393671302,24.77557540654649,88.83602102354423,397560.8461986735,4015.766123218925,522835.7367145469
218.10000000000002,75398.3648984757,24.53966694562249,88.04676209290058,397562.0970046868,4015.7787576230994,522911.1729101755
218.20000000000002,75322.76841939424,24.305920224676417,87.2642144272722,397563.33669585787,4015.7912797561407,522986.5334703394
218.3,75247.24982947955,24.074316295148407,86.48832392973996,397564.5653667428,4015.80369057316,523061.8184729792
218.4,75171.80902864257,23.844836410558948,85.71903689447426,397565.7831110977,4015.81599102119,523137.0279959331
218.5,75096.44591710537,23.617461982303663,84.95630003224872,397566.99002190196,4015.8281820394145,523212.16211693827
218.60000000000002,75021.16039538453,23.39217456518419,84.2000604516057,397568.1861914051,4015.8402645596484,523287.2209136335
218.70000000000002,74945.95236429124,23.168955857408438,83.45026565885695,397569.3717111269,4015.852239506333,523362.2044635589
218.8,74870.82172493117,22.947787700590194,82.7068635580825,397570.54667185695,4015.864107796536,523437.1128441562
218.9,74795.76837870458,22.728652079749388,81.96980245113143,397571.7111636554,4015.8758703399544,523511.94613276876
219.0,74720.7922273063,22.511531123312025,81.23903103762164,397572.86527585227,4015.887528038913,523586.70440664113
219.10000000000002,74645.89317272566,22.296407103110134,80.51449841493971,397574.00909704785,4015.8990817883628,523661.3877429197
219.20000000000002,74571.07111724648,22.08326243435327,79.79615407803247,397575.1427151128,4015.910532475887,523735.99621865206
219.3,74496.3259634299,21.8720796849922,79.08394787938832,397576.2662172333,4015.9218809821555,523810.5299107898
219.4,74421.65761413334,21.66284160951403,78.37783003765892,397577.3796898536,4015.9331281803397,523884.9888961852
219.5,74347.06597250456,21.4555311085026,77.67775116026533,397578.4832186976,4015.94427493634,523959.37325159233
219.60000000000002,74272.55094196655,21.25013121525809,76.9836622255083,397579.5768888131,4015.955322109224,524033.6830536699
219.70000000000002,74198.1124262175,21.046625095797232,76.29551458256903,397580.6607845716,4015.966270551229,524107.9183789809
219.8,74123.75032923074,20.84499604885296,75.61325995150803,397581.7349896683,4015.9771211077614,524182.07930399245
219.9,74049.46455525476,20.645227505874654,74.93685042326591,397582.79958712205,4015.9878746173954,524256.16590507625
220.0,73975.25500881324,20.447303031028078,74.26623845966317,397583.8546592755,4015.9985319118746,524330.1782585082
220.10000000000002,73901.12159470505,20.251206321195323,73.60137689339997,397584.900287795,4016.009093816112,524404.1164404688
220.20000000000002,73827.0642180041,20.056921205947567,72.94221892786176,397585.9365536709,4016.0195611481918,524477.9805270426
220.3,73753.0827840437,19.864431655923635,72.28871810014705,397586.9635372593,4016.029934719792,524551.7705942207
220.4,73679.17719843393,19.673721813867484,71.6408282899246,397587.9813182283,4016.0402153356404,524625.4867178979
220.5,73605.34736705631,19.484775957645482,70.99850373942998,397588.9899755788,4016.0504037937258,524699.1289738738
220.60000000000002,73531.5931960496,19.297578487878333,70.36169903649687,397589.9895876852,4016.0605008857096,524772.6974378547
220.70000000000002,73457.91459180992,19.112113927941326,69.73036911455779,397590.9802322958,4016.070507396928,524846.1921854544
220.8,73384.31146099068,18.928366923963978,69.1044692526429,397591.96198653243,4016.0804241063893,524919.6132921935
220.9,73310.78371050257,18.746322244830274,68.48395507538083,397592.93492689065,4016.0902517867753,524992.9608334994
221.0,73237.33124751358,18.565964782178604,67.86878255299852,397593.8991292397,4016.099991204442,525066.2348847067
221.10000000000002,73163.95397944901,18.387279550401715,67.25890800132095,397594.85466882243,4016.109643119419,525139.435521057
221.20000000000002,73090.65181399138,18.210251686620737,66.65428808158978,397595.8016202557,4016.119208285411,525212.5628176989
221.3,73017.42465906597,18.034866458176406,66.05487976631713,397596.74005756894,4016.1286874501916,525285.61684969
221.4,72944.27242285697,17.861109291124063,65.46064034827921,397597.670054154,4016.1380813550913,525358.5976919942
221.5,72871.19501380238,17.688965736423107,64.87152745817367,397598.59168278484,4016.147390735201,525431.5054194826
221.60000000000002,72798.19234058102,17.51842145850993,64.28749904854534,397599.50501565565,4016.1566163197544,525504.3401069362
221.70000000000002,72725.26431211259,17.349462235298105,63.708513393786895,397600.4101243807,4016.165758832129,525577.1018290451
221.8,72652.41083755753,17.18207395817809,63.13452909013791,397601.30707999476,4016.1748189898462,525649.7906604091
221.9,72579.63182631717,17.016242632017445,62.56550505568547,397602.1959529525,4016.183797504571,525722.4066755377
222.0,72506.92718803362,16.851954375160748,62.00140053036402,397603.076813129,4016.1926950821116,525794.9499488494
222.10000000000002,72434.2968325898,16.689195419429584,61.442175075955234,397603.94972981955,4016.20151242242,525867.4205546725
222.20000000000002,72361.74067010942,16.52795211009781,60.88778857591888,397604.8147717399,4016.210250219595,525939.8185672448
222.3,72289.25861094362,16.36821091258414,60.33820120386677,397605.67200706206,4016.218909162243,526012.1440607152
222.4,72216.85056568595,16.209958438603717,59.79337343260822,397606.52150336764,4016.2274899330064,526084.3971091419
222.5,72144.51644516758,16.053181415267687,59.253266049712515,397607.36332766595,4016.235993208747,526156.5777864924
222.60000000000002,72072.25616044526,15.897866674530263,58.71784014230113,397608.1975464302,4016.2444196609113,526228.6861666464
222.70000000000002,72000.0696228015,15.744001153188904,58.18705709704829,397609.024225597,4016.2527699555253,526300.7223233954
222.8,71927.9567437443,15.591571892884058,57.660878600180105,397609.84343056654,4016.2610447531974,526372.6863304425
222.9,71855.91743500739,15.440566040099334,57.139266637475146,397610.6552262026,4016.2692447091176,526444.5782614029
223.0,71783.95160855008,15.290970846161455,56.6221834942643,397611.45967683266,4016.277370473057,526516.3981898035
223.10000000000002,71712.0591765573,15.142773667240222,56.109591755430635,397612.25684624753,4016.285422689369,526588.1461890828
223.20000000000002,71640.2400514396,14.995961964325039,55.60145430525186,397613.0467977021,4016.2934019969907,526659.8223325915
223.3,71568.49414582083,14.850523309199124,55.09773429830294,397613.8295939481,4016.3013090297786,526731.4266935935
223.4,71496.82137255203,14.706445408432023,54.598395168481005,397614.6052971905,4016.309144416065,526802.9593452642
