t,S,E,I,R,D,V
0.0,999975.0,20.0,5.0,0.0,0.0,0.0
0.1,999974.8158901932,19.801427567133903,5.3090364690014615,0.0729093129234341,0.0007364577062973142,0.0
0.2,999974.6208883083,19.617424929226097,5.610038265877985,0.1501320116999172,0.0015164849666658305,0.0
0.30000000000000004,999974.4152744276,19.447437118989047,5.9033923086690105,0.23155718330124372,0.0023389614474873103,0.0
0.4,999974.1993151243,19.290933100449344,6.189469689741614,0.31707926472888626,0.003202820855847336,0.0
0.5,999973.9732634571,19.147405775536424,6.468625671759034,0.4065980446920031,0.004107050956484878,0.0
0.6000000000000001,999973.7373605614,19.016369099673312,6.741201617942782,0.5000180338312804,0.005050687210416972,0.0
0.7000000000000001,999973.4918358477,18.897357720762777,7.007525233660277,0.5972483858930174,0.006032811978717346,0.0
0.8,999973.2369071256,18.78992675320655,7.26791071840757,0.6982028488818582,0.007052554029109677,0.0
0.9,999972.9727806374,18.69365171386943,7.52265880900553,0.8027997512980318,0.008109088396949814,0.0
1.0,999972.6996524516,18.6081259960604,7.772058470581945,0.9109614509863111,0.009201630818043541,0.0
1.1,999972.4177088338,18.53296019232462,8.016387350131406,1.0226141875200683,0.010329436237576442,0.0
1.2000000000000002,999972.1271263305,18.467781943637224,8.25591187786472,1.1376880495573192,0.01149179848037696,0.0
1.3,999971.8280717129,18.412236037477943,8.490887202447126,1.2561169968229708,0.0126880504729593,0.0
1.4000000000000001,999971.5207027899,18.36598293139816,8.721558179640919,1.3778385381536453,0.01391756099145096,0.0
1.5,999971.2051691974,18.328697318338047,8.948160333682702,1.50279341910254,0.015179731506086262,0.0
1.6,999970.8816124245,18.30006807840222,9.170919889655636,1.630925611476602,0.01647399607552123,0.0
1.7000000000000002,999970.550165894,18.279798128252523,9.390053875516195,1.7621822812715866,0.01779982102294532,0.0
1.8,999970.2109549855,18.267604380468008,9.605770149385881,1.896513779860896,0.019156704847079757,0.0
1.9000000000000001,999969.8640981171,18.263215773249527,9.81826872047875,2.033873215398041,0.020544173892909502,0.0
2.0,999969.5097069431,18.266372909916246,10.027741990972128,2.1742163745162855,0.021961781560770558,0.0
2.1,999969.147886399,18.276827977119467,10.23437481114022,2.3175017047377406,0.023409108128664043,0.0
2.2,999968.7787346703,18.29434479615047,10.438344446327815,2.463690326541364,0.024885760874155186,0.0
2.3000000000000003,999968.4023435119,18.318698242564203,10.639820965857771,2.6127459069895926,0.026391372797874665,0.0
2.4000000000000004,999968.0187990514,18.349672780418622,10.838968227095574,2.764634341800334,0.027925599412124576,0.0
2.5,999967.6281818331,18.38706238031174,11.035943930533877,2.9193237376067804,0.029488118561684644,0.0
2.6,999967.2305668724,18.430670419484624,11.230899687396048,3.0767843906442476,0.031078630208527747,0.0
2.7,999966.8260235736,18.480309826825387,11.423980923728974,3.2369888191587957,0.03269685675917975,0.0
2.8000000000000003,999966.4146161223,18.5358023686992,11.615327359460176,3.399911608228411,0.03434254149725667,0.0
2.9000000000000004,999965.9964040942,18.59697753165183,11.805073759825344,3.5655291682850256,0.03601544614429318,0.0
3.0,999965.5714424731,18.663672491754703,11.993349956015592,3.733819728509401,0.03771535079302424,0.0
3.1,999965.1397816911,18.735732036798243,12.180280898020865,3.904763320356227,0.03944205374097198,0.0
3.2,999964.7014675637,18.81300868222808,12.365986578494054,4.078341803828692,0.04119537175584537,0.0
3.3000000000000003,999964.2565415287,18.895362233767507,12.550582326081974,4.254538772404994,0.04297513911520196,0.0
3.4000000000000004,999963.80504123,18.9826587140459,12.734179528761011,4.433339322012212,0.04478120527285062,0.0
