t,S,E,I,R,D,V
312.20000000000005,108050.0870679259,41.45824626170917,122.81613920972124,882867.7821611363,8917.856385466013,0.0
312.3,108049.61497204422,41.13616909445861,121.86261570093092,882869.5123807284,8917.873862431592,0.0
312.40000000000003,108049.14654349137,40.81659431621859,120.91649135954115,882871.2291671241,8917.891203708316,0.0
312.5,108048.68175377397,40.499502477984805,119.97770882102007,882872.9326245773,8917.908410349257,0.0
312.6,108048.22057461855,40.18487428088201,119.04621116180306,882874.622856539,8917.925483399375,0.0
312.70000000000005,108047.7629779716,39.87269057616534,118.12194189929649,882876.2999656571,8917.942423895516,0.0
312.8,108047.3089359995,39.56293236521972,117.20484499187613,882877.9640537766,8917.959232866422,0.0
312.90000000000003,108046.85842108607,39.255580797829936,116.29486483372833,882879.6152219492,8917.975911332813,0.0
313.0,108046.41140582488,38.95061716750939,115.39194623959335,882881.25357046,8917.992460307669,0.0
313.1,108045.96786304246,38.648022927143046,114.4960344909688,882882.8791987437,8918.008880795382,0.0
313.20000000000005,108045.52776577295,38.34777967130061,113.60707528573458,882884.492205477,8918.025173792688,0.0
313.3,108045.09108725385,38.049869133408095,112.7250147299058,882886.0926885937,8918.041340288817,0.0
313.40000000000003,108044.65780092619,37.754273185747294,111.84979933763114,882887.6807452845,8918.057381265493,0.0
313.5,108044.22788043437,37.46097383945695,110.98137603119652,882889.2564719977,8918.073297696938,0.0
313.6,108043.80129962623,37.16995324453142,110.11969214102095,882890.819964438,8918.08909054987,0.0
313.70000000000005,108043.3780325531,36.881193689821885,109.26469540566012,882892.3713175675,8918.104760783503,0.0
313.8,108042.95805346967,36.59467760303577,108.41633397180483,882893.9106256056,8918.120309349542,0.0
313.90000000000003,108042.54133683175,36.31038754913488,107.57455638950636,882895.4379820368,8918.135737192284,0.0
314.0,108042.12785728916,36.028306225987365,106.73931159808109,882896.9534796375,8918.151045248856,0.0
314.1,108041.71758970723,35.74841647884477,105.91054896888181,882898.4572103962,8918.16623444844,0.0
314.20000000000005,108041.31050914327,35.47070128400457,105.08821825862677,882899.9492656005,8918.18130571313,0.0
314.3,108040.90659084277,35.19514374619425,104.27226960176272,882901.4297358508,8918.196259958082,0.0
314.40000000000003,108040.5058102394,34.92172709857083,103.46265351046362,882902.8987110596,8918.211098091504,0.0
314.5,108040.10814295497,34.650434702721974,102.6593208746339,882904.3562804526,8918.225821014667,0.0
314.6,108039.71356479949,34.38125004866473,101.86222296190469,882905.8025325676,8918.240429621888,0.0
314.70000000000005,108039.32205177112,34.11415675484663,101.07131141763708,882907.2375552554,8918.254924800553,0.0
314.8,108038.93358005618,33.8491385681452,100.28653826492075,882908.6614356792,8918.269307431096,0.0
314.90000000000003,108038.548126027,33.586179362384755,99.50785590015491,882910.074260323,8918.283578387094,0.0
315.0,108038.16566623535,33.32526313429124,98.73521708002492,882911.4761150144,8918.297738535493,0.0
315.1,108037.78617743237,33.06637401688977,97.9685749610939,882912.8670848534,8918.311788735886,0.0
315.20000000000005,108037.40963654676,32.80949626441203,97.20788305656869,882914.2472542905,8918.325729841312,0.0
315.3,108037.03602068128,32.55461424987694,96.45309522922878,882915.6167071408,8918.339562698386,0.0
315.40000000000003,108036.66530711275,32.30171246509018,95.70416569142505,882916.975526583,8918.353288147297,0.0
315.5,108036.29747329201,32.05077552064523,94.96104900508273,882918.32379516,8918.366907021813,0.0
315.6,108035.93249684398,31.801788145922213,94.22370008169804,882919.6615947786,8918.380420149273,0.0
315.70000000000005,108035.5703555676,31.55473518908889,93.49207418234114,882920.98900671,8918.3938283506,0.0
315.8,108035.21102743587,31.309601617100235,92.76612691765482,882922.3061115886,8918.407132440283,0.0
315.90000000000003,108034.85449059382,31.066372514325217,92.04581424376485,882923.6129894211,8918.420333226471,0.0
316.0,108034.50072335248,30.825033078785157,91.33109245024602,882924.9097196069,8918.433431511176,0.0
316.1,108034.14970420727,30.585568634551777,90.62191819676839,882926.1963808713,8918.446428089605,0.0
316.20000000000005,108033.80141181788,30.34796461780336,89.91824847305165,882927.4730513399,8918.459323750903,0.0
316.3,108033.45582500497,30.112206574587113,89.22004059231845,882928.7398085494,8918.47211927827,0.0
316.40000000000003,108033.11292275021,29.878280160818793,88.52725219129314,882929.9967294482,8918.484815448966,0.0
316.5,108032.77268419624,29.646171142283638,87.83984123020464,882931.2438903966,8918.497413034303,0.0
316.6,108032.43508864667,29.41586539463529,87.15776599278315,882932.4813671658,8918.50991279965,0.0
316.70000000000005,108032.10011556615,29.18734890339674,86.48098508626305,882933.7092349393,8918.522315504431,0.0
316.8,108031.76774458025,28.960607763959917,85.8094574413816,882934.9275683118,8918.534621902134,0.0
316.90000000000003,108031.43795547372,28.73562818031442,85.14314230859429,882936.1364412965,8918.546832740365,0.0
